Name,Country,Category,Year,Area,Danger,Region,Latitude,Longitude
Heritage Site 39,"Germany, Brazil",Cultural,2007,4817.695123493802,No,Latin America and the Caribbean,-72.26328233973535,-158.5846123604382
Heritage Site 40,"Italy, Japan",Cultural,2014,4993.815765987909,No,Europe and North America,58.364685708309764,-78.48339760323226
Heritage Site 41,"France, China",Natural,2004,9122.207549682644,No,Latin America and the Caribbean,81.10976527132462,-43.997163553889806
Heritage Site 42,"Germany, South Africa",Natural,1991,4655.719213452199,No,Latin America and the Caribbean,8.339733683819475,176.2280542946342
Heritage Site 43,"Italy, South Africa",Natural,2019,1164.6219251108214,No,Arab States,1.2079558602644909,-123.78917236741256
Heritage Site 44,"Italy, Spain",Cultural,1990,1153.5137797225022,No,Europe and North America,59.95108200576104,-31.257594615145706
Heritage Site 45,"Italy, United Kingdom",Cultural,1981,6950.576062263341,No,Latin America and the Caribbean,-58.369306069801915,87.0427379277454
Heritage Site 46,"United Kingdom, United Kingdom",Cultural,2017,35.96023377559178,No,Europe and North America,-60.128444493020076,106.4075952295583
Heritage Site 47,"South Africa, Brazil",Cultural,2003,7430.637418401439,No,Europe and North America,-53.94329693824009,111.45741861687816
Heritage Site 48,"Germany, Spain",Natural,2006,2061.4411229170546,No,Latin America and the Caribbean,37.1630385066599,134.1443471795576
Heritage Site 49,"Australia, India",Cultural,2008,2955.30189625788,No,Latin America and the Caribbean,2.7638797695972244,-46.98680055646054
Heritage Site 50,"Egypt, Germany",Cultural,2011,,No,Asia and the Pacific,21.000137761305467,-114.49850928640934
Heritage Site 51,Canada,Natural,2008,8297.923587620473,No,Africa,24.061939560807915,-169.97894019445275
Heritage Site 52,South Africa,Mixed,2004,9002.371510264096,No,Arab States,-79.23963729873958,100.03394484317408
Heritage Site 53,South Africa,Cultural,2013,7861.435505566181,No,Europe and North America,2.2140300545579805,-54.52235864063921
Heritage Site 54,Japan,Cultural,2023,7940.2315453301,No,Latin America and the Caribbean,51.75669790243569,-72.92517155024258
Heritage Site 55,India,Cultural,2005,7635.724230683748,No,Europe and North America,-45.75201964325731,-72.57222216351056
Heritage Site 56,Mexico,Cultural,2018,9765.882932530038,No,Arab States,36.43898755130657,68.25746096940836
Heritage Site 57,Greece,Cultural,2012,3460.1310058590007,No,Asia and the Pacific,50.9581445319827,-7.587161080759046
Heritage Site 58,Egypt,Cultural,2010,5441.223564781988,No,Africa,-4.528656511902412,158.6373085097864
Heritage Site 59,United Kingdom,Cultural,2000,,No,Asia and the Pacific,61.5577854808534,-36.77162176510248
Heritage Site 60,France,Natural,1989,2107.8702514406295,No,Arab States,34.196192730579114,106.85626732977869
Heritage Site 61,Japan,Cultural,2009,4712.611782156178,No,Africa,17.147482968245455,-88.57511629705401
Heritage Site 62,India,Cultural,2003,7883.020997608362,No,Africa,-73.25176189064479,163.7793490474088
Heritage Site 63,Australia,Cultural,1986,4304.418638401932,No,Europe and North America,-23.484157064863126,-149.57369110716667
Heritage Site 64,Mexico,Cultural,2011,,No,Europe and North America,14.686599942280097,-86.80007531355761
Heritage Site 65,Germany,Natural,1986,7130.307676434253,No,Africa,57.169267101512986,-101.80406299580605
Heritage Site 66,Italy,Cultural,2008,4449.868792879068,No,Arab States,-1.1941145123958563,-52.473277853654636
Heritage Site 67,Germany,Cultural,1979,,No,Arab States,80.97596217841661,71.82646295047627
Heritage Site 68,France,Cultural,2009,78.90914657940691,No,Europe and North America,89.27443921186907,176.14865587411725
Heritage Site 69,France,Cultural,1990,7112.023345506823,No,Latin America and the Caribbean,-53.75522156654016,22.16244247999967
Heritage Site 70,Mexico,Cultural,1990,2648.512274160851,No,Africa,68.69231493555304,-23.864363587350624
Heritage Site 71,Egypt,Cultural,1996,1624.5295048585365,No,Asia and the Pacific,-70.2249973903576,-20.592730265932886
Heritage Site 72,Germany,Cultural,1982,8221.558902150617,No,Africa,11.113187581916705,60.94817342491723
Heritage Site 73,Brazil,Cultural,1997,7090.9397308134885,No,Arab States,-81.0495776061359,78.1430309015023
Heritage Site 74,Italy,Cultural,2022,7376.029219940702,No,Africa,-84.2426162739672,17.16486695027814
Heritage Site 75,South Africa,Cultural,2022,2531.496097027414,No,Europe and North America,16.488953699670944,-33.22613039434145
Heritage Site 76,India,Cultural,1978,650.8603140864909,No,Latin America and the Caribbean,75.08820904500647,-28.26583442786307
Heritage Site 77,Egypt,Mixed,1991,1155.3722665631951,No,Africa,49.92387167576999,-174.89966242621816
Heritage Site 78,France,Cultural,1981,985.5493322070021,No,Arab States,-10.567927507371266,145.77165819299017
Heritage Site 79,India,Mixed,2017,612.2675350186744,No,Europe and North America,35.45701079520235,-75.0943279910221
Heritage Site 80,South Africa,Natural,2022,,No,Europe and North America,52.72319278684401,-42.85915721444027
Heritage Site 81,Egypt,Cultural,2013,9146.32092841566,No,Asia and the Pacific,-84.48225905582369,-19.047679964529635
Heritage Site 82,Spain,Cultural,2009,6330.640943485553,No,Asia and the Pacific,79.20059400452496,133.0126871851462
Heritage Site 83,Australia,Cultural,2004,3251.383988234113,No,Africa,40.212219477380046,99.7612229967387
Heritage Site 84,Germany,Cultural,1987,4042.4058963632338,No,Arab States,8.460239212455278,-116.00202697410303
Heritage Site 85,Japan,Cultural,1986,9109.004394222511,No,Africa,-70.67806100854327,-107.12654135183149
Heritage Site 86,United Kingdom,Cultural,2021,9998.177245343164,No,Arab States,82.51258766480134,48.73794531024686
Heritage Site 87,Germany,Mixed,1995,9012.922371265058,No,Arab States,-72.7870254624916,113.19035661061162
Heritage Site 88,South Africa,Cultural,2017,5957.936235551658,No,Africa,62.86614973729991,-49.32461059093038
Heritage Site 89,Japan,Cultural,2001,6245.328923937383,Yes,Europe and North America,77.88359783093853,45.511817557146685
Heritage Site 90,Australia,Natural,1998,8327.75933729956,No,Arab States,-75.72764661809236,137.22333334180428
Heritage Site 91,Australia,Mixed,2014,4515.944875975106,No,Asia and the Pacific,69.9857088410732,122.01316416382605
Heritage Site 92,Egypt,Natural,2020,2777.1689912909396,No,Europe and North America,-29.79810116060017,35.14066485370901
Heritage Site 93,United Kingdom,Cultural,1987,5635.734426255998,No,Arab States,-46.33626335760822,74.97105640707147
Heritage Site 94,Greece,Cultural,1982,9248.492019745865,No,Latin America and the Caribbean,-59.72680274664916,-46.9108308556074
Heritage Site 95,Mexico,Natural,2010,3885.7874806390037,No,Arab States,34.61158948019248,-172.5133496843755
Heritage Site 96,France,Natural,2016,2648.527109062147,No,Latin America and the Caribbean,-73.18078538799121,-77.22511327430442
Heritage Site 97,Germany,Cultural,1987,,No,Asia and the Pacific,-44.408686845669315,-138.84170645575534
Heritage Site 98,France,Cultural,1984,3922.094748915464,No,Europe and North America,-23.771121145917675,129.89487492580366
Heritage Site 99,Italy,Natural,1980,2390.8212770621712,Yes,Europe and North America,-38.60354595148848,21.421706208415742
Heritage Site 100,Greece,Mixed,2013,183.73773142103892,No,Latin America and the Caribbean,49.47221076395468,-175.49970814116915
Heritage Site 101,Spain,Cultural,2017,6392.088750517391,No,Asia and the Pacific,-32.98564901041689,-46.926469238820914
Heritage Site 102,Canada,Cultural,2002,9562.351266211512,No,Europe and North America,-70.78109468995007,-54.867283932159154
Heritage Site 103,India,Cultural,1999,3184.166550697602,No,Arab States,69.25959493607743,57.673324043382934
Heritage Site 104,Mexico,Cultural,2007,7655.591621331082,No,Latin America and the Caribbean,-45.685677314212526,165.01887762684328
Heritage Site 105,Mexico,Cultural,1986,8258.673599735452,No,Arab States,35.13155684618857,-23.974401571267947
Heritage Site 106,Japan,Cultural,1996,3624.176736701351,No,Asia and the Pacific,-45.73499860107732,28.220866121584663
Heritage Site 107,Italy,Cultural,1985,1835.5553113231551,No,Africa,38.32789931518974,-117.07478340186337
Heritage Site 108,China,Cultural,1987,5916.714501430206,No,Latin America and the Caribbean,36.97381972311017,-13.171792750181737
Heritage Site 109,Germany,Cultural,1988,8025.9310333369995,No,Latin America and the Caribbean,15.238877981524666,-4.5751774893301445
Heritage Site 110,Greece,Cultural,1992,7583.946349832322,No,Europe and North America,-34.320684722584566,-177.1265058191803
Heritage Site 111,Mexico,Cultural,2006,1716.6612635377398,No,Arab States,9.241233427577157,-137.25826413489506
Heritage Site 112,Australia,Cultural,2001,9499.570847571062,No,Latin America and the Caribbean,53.17119146774584,-75.02603647574888
Heritage Site 113,Spain,Natural,2007,7169.102689226033,No,Arab States,-30.09362780248056,-39.364071845895324
Heritage Site 114,Brazil,Cultural,2011,1287.5958263676364,No,Latin America and the Caribbean,89.9131891721016,131.85343663776803
Heritage Site 115,India,Cultural,2000,1528.2721679502804,No,Arab States,-11.099224923740522,53.88596878051146
Heritage Site 116,Australia,Cultural,2007,,No,Europe and North America,-74.49684589675877,165.61709672002854
Heritage Site 117,Egypt,Cultural,2002,4649.124943355257,No,Latin America and the Caribbean,57.35262850442089,107.25812227787827
Heritage Site 118,China,Cultural,1982,5665.435860206854,No,Arab States,-35.33136735270067,-17.77103938940789
Heritage Site 119,Germany,Cultural,1992,3882.727311634054,No,Europe and North America,-54.67947965588187,-129.51725603767414
Heritage Site 120,Greece,Natural,2004,1096.5386192661388,No,Arab States,87.01191672162662,149.71558345776606
Heritage Site 121,Spain,Cultural,2000,2177.2541590324204,No,Africa,27.435566513897655,9.021697427133603
Heritage Site 122,Australia,Natural,2014,7698.482363244721,No,Europe and North America,88.82064412957831,112.33319700538692
Heritage Site 123,Spain,Cultural,1996,6131.941328174627,No,Latin America and the Caribbean,17.918505425026964,149.30454835682252
Heritage Site 124,Spain,Cultural,1979,1651.9393608689243,No,Europe and North America,73.27328385872124,-148.62054277690208
Heritage Site 125,Australia,Cultural,1986,7344.447971982361,No,Africa,-14.38654080700158,146.98469502171645
Heritage Site 126,Germany,Cultural,1995,1566.2453878226977,No,Africa,-87.05592549687421,33.60077127061635
Heritage Site 127,Spain,Natural,1992,6167.365003287186,No,Latin America and the Caribbean,55.33605239577054,102.13028212097714
Heritage Site 128,Canada,Cultural,1982,5925.41602356871,No,Europe and North America,-30.876254261185203,-83.0790194513948
Heritage Site 129,Canada,Natural,2016,,No,Africa,-30.418418928619488,-171.45542057254173
Heritage Site 130,Mexico,Cultural,2017,909.4381767828743,No,Arab States,37.45074126593262,-61.087983960346634
Heritage Site 131,Italy,Cultural,1980,6437.353513122467,No,Europe and North America,-33.13878141309072,-154.00322889361024
Heritage Site 132,France,Cultural,2019,6325.607492402292,No,Africa,-31.24795120660137,-142.93069297080473
Heritage Site 133,Mexico,Cultural,1980,2762.292632844152,No,Europe and North America,-71.57748232161548,8.729911974126338
Heritage Site 134,Mexico,Cultural,1987,6002.784922308654,No,Arab States,-68.64464573750332,-32.16901411812498
Heritage Site 135,China,Natural,2005,3945.4727804535905,No,Latin America and the Caribbean,-4.281745632522927,-18.89257851261982
Heritage Site 136,Greece,Cultural,1997,3192.508899478515,No,Africa,-35.63427393623397,-51.937914219067665
Heritage Site 137,Mexico,Natural,2012,8406.309414139563,No,Europe and North America,40.370378049679914,55.804568665464586
Heritage Site 138,Japan,Mixed,2018,3581.409659319035,No,Latin America and the Caribbean,-1.789780303063452,-78.25267220045387
Heritage Site 139,Germany,Cultural,2015,6331.207558662505,No,Arab States,31.49947612036189,133.77508640657737
Heritage Site 140,Italy,Cultural,1998,6646.613114562884,No,Latin America and the Caribbean,-23.985519727908112,-96.17461242301678
Heritage Site 141,South Africa,Cultural,1988,7830.330410729989,No,Latin America and the Caribbean,-82.20523902270456,70.047146308664
Heritage Site 142,United Kingdom,Cultural,2013,3856.067773629293,No,Europe and North America,80.71107756049145,-145.21767659253095
Heritage Site 143,Greece,Cultural,1980,133.3007920830034,No,Europe and North America,46.98749007268708,-46.04537347331885
Heritage Site 144,Spain,Natural,1986,6327.683522807168,No,Latin America and the Caribbean,63.78966222447633,-168.16654110299817
Heritage Site 145,Australia,Natural,1988,7609.922117509283,No,Arab States,11.226568361736113,-25.804844686537024
Heritage Site 146,Japan,Cultural,1979,473.06139013319745,No,Asia and the Pacific,-5.532218652039603,141.2179368567871
Heritage Site 147,France,Cultural,1996,7264.0378410984595,No,Africa,53.40916637855656,76.95862768465753
Heritage Site 148,Egypt,Cultural,1998,9595.228314746957,No,Asia and the Pacific,24.2694185558763,45.88904415174656
Heritage Site 149,Mexico,Cultural,2020,,No,Africa,-71.38580817885266,128.45581233615513
Heritage Site 150,Spain,Natural,2015,1807.7553673926936,No,Europe and North America,-16.27669320492312,103.51510256210935
Heritage Site 151,Egypt,Mixed,1986,4231.743565902531,No,Asia and the Pacific,30.42680769107656,-68.24028043423085
Heritage Site 152,Italy,Cultural,1978,2788.8267053874724,No,Asia and the Pacific,-72.50331611867294,-83.1034114274556
Heritage Site 153,Japan,Cultural,1981,3782.0426416799746,No,Europe and North America,55.64547160032379,-61.810240262874856
Heritage Site 154,Brazil,Cultural,1979,2056.152776804679,No,Arab States,-51.20443942974407,24.491535625604598
Heritage Site 155,United Kingdom,Cultural,2004,6945.903046470179,No,Asia and the Pacific,63.69436015232142,51.67633239931757
Heritage Site 156,Egypt,Natural,1987,1397.511335174854,No,Europe and North America,-46.45807569433542,-130.002388914045
Heritage Site 157,South Africa,Cultural,1979,640.6463336184029,No,Africa,46.268602258653516,-125.86027130707193
Heritage Site 158,Australia,Cultural,2015,9298.20652335343,No,Africa,-55.52841315811737,147.4353665403939
Heritage Site 159,Japan,Cultural,1991,,No,Arab States,44.20710423440687,6.436345026434708
Heritage Site 160,Italy,Cultural,2005,8128.65918193812,No,Asia and the Pacific,59.03757727171106,173.227145591878
Heritage Site 161,Germany,Cultural,1978,785.3160738018022,No,Europe and North America,-55.534418159472935,-110.64930344587509
Heritage Site 162,South Africa,Cultural,2014,7072.014330121885,No,Asia and the Pacific,-72.25971694107561,115.85199650274535
Heritage Site 163,Germany,Cultural,2001,7648.900088422232,No,Arab States,-7.24534342777838,42.337006015008825
Heritage Site 164,Mexico,Natural,2010,1771.1888528760794,No,Latin America and the Caribbean,-49.53789801058534,-157.19571798460768
Heritage Site 165,Brazil,Natural,2001,953.4214353981456,No,Europe and North America,79.9705600092766,-10.16074993997978
Heritage Site 166,China,Cultural,1984,4749.65222678887,No,Africa,80.44802244690766,-80.66966535213034
Heritage Site 167,Spain,Cultural,1978,,No,Africa,-39.85532613230403,143.15478790277274
Heritage Site 168,Egypt,Cultural,1994,4331.707229988362,No,Latin America and the Caribbean,57.89305139119426,-1.8390509044868963
Heritage Site 169,United Kingdom,Cultural,2003,6753.699772128164,No,Europe and North America,68.34406976178744,-49.671521459035574
Heritage Site 170,India,Cultural,2002,443.9643917167305,No,Asia and the Pacific,25.403307603454422,62.88881559134737
Heritage Site 171,United Kingdom,Cultural,2018,7276.8221579534575,No,Europe and North America,-51.41476952081944,20.215446752112314
Heritage Site 172,China,Natural,1992,5968.922260467844,No,Latin America and the Caribbean,10.91601628666497,-159.5448289261726
Heritage Site 173,Greece,Cultural,1983,4946.754465649602,No,Asia and the Pacific,33.57893606753258,-26.920915955738224
Heritage Site 174,Canada,Natural,2021,4939.5292052693385,Yes,Arab States,-16.966281275910845,169.75358460789914
Heritage Site 175,Spain,Cultural,2008,4416.8478015806595,No,Asia and the Pacific,-69.92003053297168,-28.035230209501265
Heritage Site 176,Italy,Cultural,1990,3446.995809035932,No,Latin America and the Caribbean,72.87852221921682,172.38853903819734
Heritage Site 177,Greece,Cultural,1980,7865.838866873389,No,Latin America and the Caribbean,32.445431749877514,-31.58268520901774
Heritage Site 178,Australia,Cultural,2019,1771.5192771784016,No,Europe and North America,-75.34739177492547,-18.590579210381776
Heritage Site 179,Brazil,Cultural,1979,2813.940138238968,No,Europe and North America,-82.92725624778501,-103.00845618502017
Heritage Site 180,Brazil,Cultural,2001,6157.601912745783,No,Asia and the Pacific,-60.038855334313396,-164.6758368939505
Heritage Site 181,Italy,Cultural,2012,2925.719499134418,No,Arab States,56.14050784824113,-155.61915309691878
Heritage Site 182,United Kingdom,Cultural,1978,4701.60080347807,Yes,Arab States,-50.30020588239226,105.31029147396521
Heritage Site 183,South Africa,Cultural,2009,5159.394001757928,No,Latin America and the Caribbean,-12.907068820234912,63.488187365452774
Heritage Site 184,Egypt,Natural,2000,8657.647249619458,No,Europe and North America,-80.61438668445938,-90.76579243708397
Heritage Site 185,France,Natural,1989,5472.722707826323,No,Asia and the Pacific,-75.61190299467425,85.55128691792981
Heritage Site 186,Canada,Cultural,1980,2434.2983580923074,No,Europe and North America,-35.13391013232002,38.69343967379379
Heritage Site 187,Greece,Cultural,1987,6752.160013166073,No,Latin America and the Caribbean,85.15042010100342,154.87481825733465
Heritage Site 188,Italy,Cultural,1985,1255.0308719350355,No,Asia and the Pacific,-46.558244029502504,3.84327746357323
Heritage Site 189,China,Natural,1992,5472.625181397067,No,Arab States,1.6471505325317395,-66.1849136271854
Heritage Site 190,United Kingdom,Cultural,2005,2692.886291820634,No,Africa,51.099491026297585,170.071328032059
Heritage Site 191,Germany,Cultural,1994,6578.543853111263,No,Arab States,-7.06801989613983,97.91992096604974
Heritage Site 192,China,Natural,2007,3930.8950930799047,No,Asia and the Pacific,-56.03882780904854,-103.49127995205
Heritage Site 193,Greece,Cultural,1988,6492.346208117437,No,Arab States,-20.926610797280247,100.36860815371375
Heritage Site 194,Canada,Cultural,2014,1393.596362068704,No,Arab States,14.675557725307215,-150.95457216235997
Heritage Site 195,Germany,Natural,2007,5679.604885326201,Yes,Africa,-25.750531061025868,23.30472012464284
Heritage Site 196,Brazil,Cultural,1978,7362.00699804494,No,Latin America and the Caribbean,16.71178518711058,-105.44633337924077
Heritage Site 197,Greece,Cultural,1994,8318.389018441898,No,Europe and North America,-17.680655982551272,43.15747245437299
Heritage Site 198,Egypt,Cultural,2021,3019.5584130694983,No,Africa,-75.32971020100094,-62.34859643738882
Heritage Site 199,Japan,Natural,2023,57.68353796132703,No,Africa,-28.700495876252212,-97.43373952787292
Heritage Site 200,India,Cultural,1985,4866.542447806999,No,Europe and North America,53.67813738855881,149.6189484434717
Heritage Site 201,Canada,Cultural,2007,2242.579651145792,No,Latin America and the Caribbean,62.90441796170276,-103.65778809517366
Heritage Site 202,Egypt,Natural,1987,3428.1375547898765,No,Europe and North America,12.436910380683955,-6.203514006976263
Heritage Site 203,Canada,Cultural,1995,8159.749556016945,No,Europe and North America,-70.95967878025755,138.2386320136958
Heritage Site 204,Australia,Cultural,2011,9332.503740718746,No,Latin America and the Caribbean,-38.28598259145322,68.82869915828854
Heritage Site 205,Brazil,Cultural,2004,5740.3327360193325,No,Latin America and the Caribbean,14.637343661311931,109.41663010686625
Heritage Site 206,Italy,Natural,1982,7610.911431674492,No,Africa,49.48005322631866,-140.47080997296905
Heritage Site 207,Australia,Cultural,2008,2931.8351043866746,No,Arab States,-27.452241510363713,31.64816951992691
Heritage Site 208,China,Cultural,2008,2387.4249377328056,No,Asia and the Pacific,79.95241061979524,122.81869953859189
Heritage Site 209,United Kingdom,Cultural,2015,9458.213653466433,No,Arab States,72.3557792708491,20.931868848023356
Heritage Site 210,Australia,Cultural,2000,8129.47245418472,No,Arab States,-63.07421589013791,32.0739734916786
Heritage Site 211,Mexico,Cultural,1987,6364.487173923563,No,Arab States,-3.44011300430671,1.5149891661856145
Heritage Site 212,Australia,Cultural,2017,7130.487620832223,No,Arab States,82.56007398715263,-72.25978996957036
Heritage Site 213,Spain,Cultural,1983,7905.508419567848,No,Europe and North America,70.6826950143984,-168.0554958911316
Heritage Site 214,Australia,Cultural,2000,2062.9885212709455,No,Europe and North America,20.39431409840084,140.18932061111252
Heritage Site 215,China,Cultural,2018,3785.407601729535,Yes,Arab States,-81.62761424278784,-81.54755610280586
Heritage Site 216,Japan,Cultural,2020,8727.5647197978,No,Asia and the Pacific,-17.380498569972858,-16.271512364980197
Heritage Site 217,Brazil,Cultural,1995,,No,Europe and North America,35.82803687953317,-177.1354373692857
Heritage Site 218,Greece,Natural,2009,1281.3929312228834,No,Latin America and the Caribbean,-37.956941378472834,-149.01574604057112
Heritage Site 219,France,Cultural,1992,5248.667125451568,No,Arab States,21.8714407451844,-3.307142808192282
Heritage Site 220,Italy,Cultural,1985,8100.854444168122,No,Africa,83.82369067851036,-59.339509816657184
Heritage Site 221,Egypt,Natural,2012,6377.561520778691,No,Asia and the Pacific,11.81177587637741,-5.404529731504766
Heritage Site 222,China,Cultural,2015,4056.725813204868,No,Arab States,44.66415272432005,164.42314135322135
Heritage Site 223,Mexico,Cultural,1979,7390.521119024205,No,Africa,-41.766769988492385,-36.25775168139532
Heritage Site 224,Mexico,Cultural,1997,9173.245651231995,No,Asia and the Pacific,69.4722919769323,45.031932608120655
Heritage Site 225,Germany,Cultural,1982,4859.798028969805,No,Europe and North America,-31.40375563097868,-46.00601922379363
Heritage Site 226,Egypt,Cultural,2010,2830.504648681161,No,Arab States,-81.4962505934437,64.6177318500674
Heritage Site 227,Canada,Cultural,1995,8464.472811221925,No,Europe and North America,26.504574287364974,96.03971506048975
Heritage Site 228,Spain,Natural,1984,1757.5599500591748,No,Arab States,26.020863662493625,-145.16067952891248
Heritage Site 229,India,Cultural,2023,6169.502502507652,No,Asia and the Pacific,39.51522273440125,-56.145577398711
Heritage Site 230,India,Cultural,2000,1794.024593649742,No,Latin America and the Caribbean,-49.543361085642054,45.940013577001764
Heritage Site 231,Germany,Natural,1984,4424.004627570122,No,Asia and the Pacific,71.0548552991983,-169.02789396207174
Heritage Site 232,Canada,Cultural,1998,8006.637740154533,No,Europe and North America,-9.53438888549293,-104.8099120909362
Heritage Site 233,Brazil,Cultural,2000,6910.340947987094,No,Latin America and the Caribbean,-11.891083118926147,78.11969257114004
Heritage Site 234,Japan,Cultural,1979,1694.0218348822834,No,Latin America and the Caribbean,-23.2100220631136,-146.8955049663347
Heritage Site 235,China,Cultural,2001,132.81728754783524,No,Africa,43.780494935428294,-60.984995163113354
Heritage Site 236,Egypt,Cultural,1993,3643.2421829136483,No,Arab States,-66.57549351429712,63.13743885125436
Heritage Site 237,Italy,Cultural,1984,1986.131536550341,No,Asia and the Pacific,-4.543782817102326,-178.8458392029201
Heritage Site 238,Australia,Natural,2000,9870.140615616201,No,Arab States,22.976899407198616,170.38185966701644
Heritage Site 239,India,Cultural,2005,8057.166449780077,No,Europe and North America,-31.989472426661003,-178.7986345841712
Heritage Site 240,Greece,Cultural,1978,5552.5148384870145,No,Latin America and the Caribbean,-40.822103757630735,-168.57687491008627
Heritage Site 241,Germany,Cultural,2010,9875.811632363873,No,Asia and the Pacific,59.154648728342295,27.364324445139033
Heritage Site 242,France,Cultural,2005,6526.209453537659,No,Africa,-70.29207933679204,-159.62156449331076
Heritage Site 243,Egypt,Mixed,2006,8762.618228759513,No,Africa,-67.28890283677786,21.854098179237013
Heritage Site 244,Italy,Cultural,1983,9638.572475643983,No,Latin America and the Caribbean,2.9612491422492013,-16.30787774701227
Heritage Site 245,Canada,Cultural,1994,616.5218243775269,No,Arab States,58.19901744065626,-8.169909923062988
Heritage Site 246,South Africa,Cultural,1993,3997.6491341630763,No,Arab States,-49.51129332430618,-9.256554694536419
Heritage Site 247,Egypt,Cultural,2000,4558.336392060979,No,Arab States,-28.372007996917645,-150.13619382115223
